model-1600436283,1600436446.31,0.86,0.1046,0.71,0.2113
model-1600436283,1600436447.359,0.89,0.0998,0.75,0.1651
model-1600436283,1600436448.347,0.86,0.1093,0.72,0.2209
model-1600436283,1600436449.358,0.84,0.1034,0.74,0.2019
model-1600436283,1600436450.438,0.88,0.0754,0.71,0.2261
model-1600436283,1600436451.51,0.78,0.1372,0.8,0.1504
model-1600436283,1600436452.691,0.86,0.0983,0.8,0.1477
model-1600436283,1600436453.731,0.87,0.125,0.79,0.1647
model-1600436283,1600436453.824,0.88,0.0978,0.77,0.1678
model-1600436283,1600436454.813,0.86,0.1027,0.74,0.1949
model-1600436283,1600436455.817,0.78,0.1125,0.79,0.1582
model-1600436283,1600436456.893,0.94,0.0652,0.75,0.2026
model-1600436283,1600436457.925,0.91,0.0998,0.78,0.1599
model-1600436283,1600436458.93,0.89,0.0983,0.78,0.1717
model-1600436283,1600436459.95,0.91,0.0734,0.86,0.1192
model-1600436283,1600436460.951,0.83,0.1366,0.71,0.1903
model-1600436283,1600436461.937,0.88,0.0889,0.75,0.1789
model-1600436283,1600436463.012,0.88,0.0875,0.78,0.1861
model-1600436283,1600436464.01,0.83,0.1242,0.74,0.1758
model-1600436283,1600436465.077,0.92,0.0864,0.69,0.1919
model-1600436283,1600436466.065,0.84,0.1311,0.77,0.1836
model-1600436283,1600436467.044,0.86,0.0928,0.7,0.205
model-1600436283,1600436468.0,0.88,0.1065,0.74,0.1756
model-1600436283,1600436468.089,0.92,0.0739,0.78,0.1346
model-1600436283,1600436469.076,0.88,0.1017,0.83,0.1322
model-1600436283,1600436470.075,0.8,0.1005,0.75,0.1807
model-1600436283,1600436471.109,0.89,0.0689,0.72,0.186
model-1600436283,1600436472.153,0.88,0.1038,0.75,0.1997
model-1600436283,1600436473.163,0.88,0.0976,0.72,0.2022
model-1600436283,1600436474.262,0.89,0.0641,0.72,0.2052
model-1600436283,1600436475.258,0.86,0.1,0.85,0.1349
model-1600436283,1600436476.246,0.88,0.0939,0.67,0.2411
model-1600436283,1600436477.259,0.84,0.0987,0.76,0.1698
model-1600436283,1600436478.304,0.86,0.0963,0.68,0.216
model-1600436283,1600436479.332,0.94,0.0728,0.73,0.1795
model-1600436283,1600436480.353,0.86,0.1141,0.76,0.1719
model-1600436283,1600436481.319,0.89,0.104,0.79,0.1477
model-1600436283,1600436482.302,0.87,0.1034,0.79,0.1667
model-1600436283,1600436482.38,0.92,0.0876,0.78,0.1997
model-1600436283,1600436483.379,0.89,0.0863,0.78,0.1574
model-1600436283,1600436484.394,0.92,0.0703,0.77,0.1867
model-1600436283,1600436485.365,0.91,0.0618,0.74,0.1945
model-1600436283,1600436486.399,0.8,0.1427,0.7,0.2142
model-1600436283,1600436487.459,0.91,0.0904,0.71,0.2038
model-1600436283,1600436488.499,0.92,0.0538,0.75,0.1782
model-1600436283,1600436489.509,0.88,0.1176,0.8,0.1562
model-1600436283,1600436490.562,0.84,0.1147,0.79,0.1633
model-1600436283,1600436491.542,0.92,0.0766,0.77,0.1865
model-1600436283,1600436492.568,0.83,0.126,0.73,0.2171
model-1600436283,1600436493.608,0.89,0.0785,0.74,0.1855
model-1600436283,1600436494.616,0.83,0.1106,0.77,0.1506
model-1600436283,1600436495.644,0.88,0.0903,0.74,0.1783
model-1600436283,1600436496.645,0.83,0.1316,0.69,0.2169
model-1600436283,1600436496.726,0.83,0.1136,0.72,0.2201
model-1600436283,1600436497.738,0.89,0.0877,0.71,0.2189
model-1600436283,1600436498.718,0.84,0.0846,0.76,0.1879
model-1600436283,1600436499.776,0.92,0.0581,0.83,0.1455
model-1600436283,1600436500.896,0.84,0.1141,0.69,0.2337
model-1600436283,1600436501.959,0.88,0.0977,0.81,0.1387
model-1600436283,1600436502.964,0.94,0.0534,0.79,0.1607
model-1600436283,1600436504.044,0.91,0.0909,0.64,0.2992
model-1600436283,1600436505.077,0.86,0.0831,0.83,0.1474
model-1600436283,1600436506.078,0.83,0.1092,0.79,0.1609
model-1600436283,1600436507.131,0.92,0.0768,0.7,0.2232
model-1600436283,1600436508.213,0.94,0.0493,0.73,0.1923
model-1600436283,1600436509.294,0.88,0.0948,0.73,0.2041
model-1600436283,1600436510.356,0.91,0.0708,0.8,0.1651
model-1600436283,1600436511.385,0.88,0.0937,0.76,0.1457
model-1600436283,1600436511.461,0.86,0.0854,0.72,0.1915
model-1600436283,1600436512.472,0.88,0.0822,0.78,0.1675
model-1600436283,1600436513.513,0.89,0.0712,0.83,0.1479
model-1600436283,1600436514.582,0.91,0.0793,0.69,0.245
model-1600436283,1600436515.614,0.81,0.1231,0.77,0.1843
model-1600436283,1600436516.658,0.84,0.1089,0.66,0.257
model-1600436283,1600436517.746,0.89,0.0756,0.68,0.2535
model-1600436283,1600436518.78,0.91,0.0858,0.73,0.2067
model-1600436283,1600436519.955,0.92,0.075,0.81,0.1365
model-1600436283,1600436521.014,0.78,0.1535,0.73,0.2325
model-1600436283,1600436522.044,0.92,0.0684,0.76,0.1633
model-1600436283,1600436523.098,0.94,0.0602,0.72,0.2272
model-1600436283,1600436524.072,0.91,0.0802,0.72,0.2194
model-1600436283,1600436525.103,0.92,0.0676,0.77,0.1616
model-1600436283,1600436526.121,0.9,0.0735,0.74,0.1874
model-1600436283,1600436526.207,0.92,0.0449,0.77,0.1548
model-1600436283,1600436527.204,0.84,0.1094,0.66,0.2424
model-1600436283,1600436528.23,0.92,0.0629,0.75,0.1777
model-1600436283,1600436529.226,0.92,0.0577,0.72,0.1893
model-1600436283,1600436530.289,0.89,0.0864,0.66,0.2562
model-1600436283,1600436531.305,0.88,0.0846,0.82,0.1472
model-1600436283,1600436532.307,0.91,0.0659,0.84,0.1325
model-1600436283,1600436533.324,0.91,0.0645,0.8,0.1588
model-1600436283,1600436534.398,0.92,0.0568,0.76,0.2095
model-1600436283,1600436535.44,0.83,0.1266,0.7,0.2529
model-1600436283,1600436536.427,0.91,0.06,0.73,0.1998
model-1600436283,1600436537.461,0.95,0.0425,0.77,0.1924
model-1600436283,1600436538.461,0.88,0.0819,0.78,0.1788
model-1600436283,1600436539.498,0.94,0.0487,0.78,0.1729
model-1600436283,1600436540.541,0.9,0.0707,0.71,0.207
model-1600436283,1600436540.631,0.97,0.0355,0.71,0.2263
model-1600436283,1600436541.655,0.86,0.103,0.72,0.2133
model-1600436283,1600436542.659,0.84,0.0976,0.8,0.1671
model-1600436283,1600436543.679,0.94,0.0546,0.69,0.2163
model-1600436283,1600436544.727,0.88,0.0902,0.69,0.238
model-1600436283,1600436545.906,0.95,0.0645,0.74,0.2069
model-1600436283,1600436546.977,0.95,0.049,0.78,0.1614
model-1600436283,1600436548.008,0.94,0.0511,0.75,0.2062
model-1600436283,1600436549.086,0.92,0.0604,0.65,0.2728
model-1600436283,1600436550.108,0.92,0.0536,0.65,0.2906
model-1600436283,1600436551.196,0.89,0.0831,0.65,0.305
model-1600436283,1600436552.215,0.91,0.0772,0.76,0.184
model-1600436283,1600436553.206,0.94,0.0482,0.83,0.123
model-1600436283,1600436554.191,0.88,0.0859,0.83,0.1327
model-1600436283,1600436555.222,0.92,0.0498,0.81,0.1383
model-1600436283,1600436555.303,0.97,0.0322,0.79,0.1527
model-1600436283,1600436556.261,0.91,0.0592,0.72,0.2271
model-1600436283,1600436557.211,0.84,0.0953,0.76,0.1805
model-1600436283,1600436558.193,0.86,0.0818,0.77,0.1876
model-1600436283,1600436559.171,0.78,0.1501,0.76,0.1466
model-1600436283,1600436560.156,0.92,0.0798,0.75,0.2069
model-1600436283,1600436561.155,0.97,0.0455,0.67,0.2432
model-1600436283,1600436562.167,0.88,0.0691,0.76,0.1824
model-1600436283,1600436563.2,0.91,0.0779,0.65,0.2817
model-1600436283,1600436564.197,0.94,0.0503,0.78,0.1944
model-1600436283,1600436565.207,0.91,0.0557,0.77,0.1859
model-1600436283,1600436566.212,0.91,0.0566,0.8,0.1692
model-1600436283,1600436567.241,0.94,0.0494,0.72,0.2108
model-1600436283,1600436568.274,0.89,0.0619,0.78,0.1762
model-1600436283,1600436569.259,0.9,0.0605,0.73,0.2247
model-1600436283,1600436569.345,0.92,0.0418,0.73,0.226
model-1600436283,1600436570.437,0.91,0.0629,0.75,0.1947
model-1600436283,1600436571.468,0.89,0.0577,0.78,0.1799
model-1600436283,1600436572.477,0.91,0.0795,0.74,0.1966
model-1600436283,1600436573.492,0.86,0.1139,0.79,0.1554
model-1600436283,1600436574.506,0.92,0.0805,0.74,0.1765
model-1600436283,1600436575.523,0.97,0.0443,0.77,0.2083
model-1600436283,1600436576.566,0.89,0.0614,0.75,0.2176
model-1600436283,1600436577.556,0.95,0.0491,0.74,0.218
model-1600436283,1600436578.553,0.95,0.0305,0.8,0.1801
model-1600436283,1600436579.57,0.95,0.0441,0.76,0.1938
model-1600436283,1600436580.587,0.95,0.0512,0.74,0.1734
model-1600436283,1600436581.645,0.92,0.0581,0.81,0.1437
model-1600436283,1600436582.705,0.97,0.0438,0.73,0.2264
model-1600436283,1600436583.749,0.83,0.1319,0.7,0.263
